biceps,triceps,t
-0.00113367987796664,0.00225408934056759,1713350763.7049
-0.00114226236473769,0.00219624792225659,1713350763.70609
-0.00114928220864385,0.00225582020357251,1713350763.72892
-0.00115235941484571,0.00232022488489747,1713350763.73007
-0.00112579460255802,0.00222653895616531,1713350763.75263
-0.00110903836321086,0.00226281606592238,1713350763.75313
-0.00111622642725706,0.00224541081115603,1713350763.77275
-0.00117529404815286,0.00224151625297964,1713350763.7739
-0.000996456481516361,0.00228796247392893,1713350763.83269
-0.00113497802522033,0.00225130072794855,1713350763.83389
-0.00113990635145456,0.00226122932508588,1713350763.86051
-0.00113692530430853,0.00226988410577178,1713350763.86148
-0.00114642141852528,0.00226897047832608,1713350763.88433
-0.00113492994569242,0.0023018098436296,1713350763.88538
-0.00114683003630489,0.00230053579434752,1713350763.90476
-0.00114178156945854,0.00226904265582561,1713350763.90579
-0.00114675797522068,0.00229587196372449,1713350763.94074
-0.00114026700612158,0.00219288212247193,1713350763.94176
-0.00112757354509085,0.00225935433991253,1713350764.01267
-0.00112101051490754,0.00224072276614606,1713350764.03663
-0.0011173322563991,0.00228243321180344,1713350764.06838
-0.00111610628664494,0.00222586584277451,1713350764.0691
-0.00111846218351275,0.00221860548481345,1713350764.09226
-0.00109927786979824,0.00225363252684474,1713350764.09302
-0.00110540818423033,0.0022476464509964,1713350764.12046
-0.00108569499570876,0.00225101225078106,1713350764.12147
-0.00114211812615395,0.002215864835307,1713350764.14073
-0.00112935260403901,0.00224553095176816,1713350764.14209
-0.00117361126467586,0.00225524324923754,1713350764.17251
-0.00101910263765603,0.00229289080016315,1713350764.1738
-0.00107711250893772,0.00221084035001695,1713350764.20832
-0.00108752201776952,0.00223052967339754,1713350764.20936
-0.00109367643017322,0.00223584263585508,1713350764.26111
-0.00108172826003283,0.00222548120655119,1713350764.26157
-0.00109709019307047,0.0022222837433219,1713350764.28523
-0.00109341193456203,0.00224329507909715,1713350764.28567
-0.0010874739382416,0.00224137189798057,1713350764.33791
