tibialis_anterior,gastrocnemius,t
0.375539869070053,0.0583518780767918,1713350763.70455
0.375755041837692,0.072153314948082,1713350763.70555
0.375633299350739,0.0849039405584335,1713350763.72856
0.382570296525955,0.0643980726599693,1713350763.72962
0.403333336114883,0.0642272904515266,1713350763.76448
0.403333336114883,0.0444497615098953,1713350763.76604
0.403333336114883,0.0612392425537109,1713350763.83266
0.403333336114883,0.0289766918867826,1713350763.83387
0.403333336114883,0.0435529537498951,1713350763.86872
0.403333336114883,0.0573289059102535,1713350763.86996
0.403333336114883,0.0437810979783535,1713350763.89633
0.403333336114883,0.066701352596283,1713350763.89792
0.403333336114883,0.04722610861063,1713350763.92875
0.403333336114883,0.0791959464550018,1713350763.93039
0.403333336114883,0.0797474309802055,1713350763.95639
0.403333336114883,0.0680548846721649,1713350763.95747
0.403333336114883,0.0707303062081337,1713350764.00492
0.403333336114883,0.0775958523154259,1713350764.00619
0.403333336114883,0.079599916934967,1713350764.03637
0.403333336114883,0.0841942131519318,1713350764.0379
0.390407115221024,0.0694342330098152,1713350764.05638
0.402235150337219,0.0644469708204269,1713350764.05836
0.386370897293091,0.074507363140583,1713350764.11268
0.37563568353653,0.072759710252285,1713350764.11441
0.375639677047729,0.0620427764952183,1713350764.16082
0.393232703208923,0.080099530518055,1713350764.16191
0.38266596198082,0.0685872361063957,1713350764.23263
0.403333336114883,0.0757139101624489,1713350764.23378
0.376377820968628,0.0815808102488518,1713350764.2529
0.378027141094208,0.0854633152484894,1713350764.25402
0.37371426820755,0.0761521682143211,1713350764.27659
0.399485111236572,0.0766327381134033,1713350764.27798
0.403333336114883,0.0319683440029621,1713350764.30835
0.403333336114883,0.037360493093729,1713350764.30923
0.403333336114883,0.0412964597344399,1713350764.36457
0.403333336114883,0.0463690161705017,1713350764.36564
0.403333336114883,0.0399511493742466,1713350764.41245
0.403333336114883,0.0421178787946701,1713350764.4139
0.403333336114883,0.029327780008316,1713350764.43646
0.403333336114883,0.0747595503926277,1713350764.43774
0.403333336114883,0.0827152356505394,1713350764.46035
0.403333336114883,0.0860288888216019,1713350764.46184
0.403333336114883,0.0702312737703323,1713350764.517
0.403333336114883,0.0883517861366272,1713350764.51849
0.403333336114883,0.0574606470763683,1713350764.54045
0.403333336114883,0.0600869320333004,1713350764.54159
0.393296152353287,0.081839919090271,1713350764.577
0.398081690073013,0.0860292240977287,1713350764.57813
0.396741330623627,0.0751229003071785,1713350764.65621
0.403333336114883,0.0836706608533859,1713350764.65735
0.403333336114883,0.0517973192036152,1713350764.70467
0.403333336114883,0.0567714050412178,1713350764.70582
0.403333336114883,0.0467616431415081,1713350764.74443
0.403333336114883,0.0417272187769413,1713350764.7723
0.403333336114883,0.0453296937048435,1713350764.81684
0.403333336114883,0.0493274442851543,1713350764.81805
0.403333336114883,0.0638813003897667,1713350764.87288
0.399836480617523,0.0816157683730125,1713350764.87408
0.397295594215393,0.036392766982317,1713350764.89238
0.403333336114883,0.0454069599509239,1713350764.8932
0.403333336114883,0.0583530329167843,1713350764.92073
0.403333336114883,0.0185660310089588,1713350764.92201
0.403333336114883,0.0440573245286942,1713350764.94453
0.403333336114883,0.0414314232766628,1713350764.94573
0.403333336114883,0.0830845460295677,1713350764.97306
0.403333336114883,0.0842989310622215,1713350764.97462
0.403333336114883,0.0651713609695435,1713350764.98085
0.403333336114883,0.0906756892800331,1713350764.982
0.403333336114883,0.0770669132471085,1713350765.03641
0.403333336114883,0.0718755945563316,1713350765.03775
