index,ECG
1742986067.8439636,0.0015664817770101758
1742986067.8449397,0.0015664817770101758
1742986067.8459156,0.0015664817770101758
1742986067.8468914,0.0015664817770101758
1742986067.8478677,0.0015664817770101758
1742986067.8488438,0.0015664817770101758
1742986067.8498197,0.0015664817770101758
1742986067.8507955,0.0015664817770101758
1742986067.8517716,0.001409737437137457
1742986067.8527477,0.0014135839240054992
1742986067.8537238,0.0014087758154204466
1742986067.8546996,0.0014106990588544678
1742986067.8556757,0.0014193536543075627
1742986067.8566518,0.001471281227026132
1742986067.8576276,0.0015760979941802811
1742986067.8586035,0.0015866758330673972
1742986067.8595796,0.0015501342078209964
1742986067.860556,0.0015443644775189334
1742986067.8615317,0.0015434028558019227
1742986067.8625076,0.0015539806946890387
1742986067.8634837,0.0015366715037828489
1742986067.8644598,0.0014837823093472688
1742986067.8654356,0.0014751277138941741
1742986067.8664114,0.0014635882532900476
1742986067.8673875,0.0014510871709689105
1742986067.8683639,0.0014895520396493323
1742986067.8693397,0.0015462877209529542
1742986067.8703156,0.00162706394518184
1742986067.8712916,0.0016328336754839034
1742986067.8722677,0.0015443644775189334
1742986067.8732436,0.0014866671744983007
1742986067.8742194,0.0014530104144029317
1742986067.8751957,0.001427046628043647
1742986067.8761718,0.0014578185229879843
1742986067.8771477,0.001570328263878218
1742986067.8781235,0.0015818677244823446
1742986067.8790996,0.0015953304285204921
1742986067.8800757,0.0015837909679163656
1742986067.8810515,0.0016155244845777134
1742986067.8820276,0.0016251407017478189
1742986067.8830037,0.0016164861062947242
1742986067.8839798,0.0016164861062947242
1742986067.8849556,0.00164437313608803
1742986067.8859315,0.0016280255668988505
1742986067.8869076,0.0016011001588225554
1742986067.8878837,0.0015876374547844076
1742986067.8888597,0.001582829346199355
1742986067.8898356,0.0015626352901421338
1742986067.8908117,0.001553019072972028
1742986067.8917878,0.0015674433987271864
1742986067.8927636,0.0015655201552931652
1742986067.8937395,0.0015885990765014183
1742986067.8947155,0.001578982859331313
1742986067.8956919,0.0015684050204441968
1742986067.8966677,0.0015501342078209964
1742986067.8976436,0.0015270552866127436
1742986067.8986197,0.0014914752830833533
1742986067.8995957,0.0014664731184410792
1742986067.9005716,0.0014510871709689105
1742986067.9015474,0.0014462790623838578
1742986067.9025238,0.0014405093320817945
1742986067.9034998,0.0015020531219704695
1742986067.9044757,0.0015414796123679015
1742986067.9054515,0.0015376331254998595
1742986067.9064276,0.0015203239345936697
1742986067.9074037,0.001481859065913248
1742986067.9083796,0.0014530104144029317
1742986067.9093554,0.0014443558189498366
1742986067.9103317,0.0014155071674395205
1742986067.9113078,0.0014482023058178788
1742986067.9122837,0.001504937987121501
1742986067.9132595,0.0015010915002534589
1742986067.9142356,0.001471281227026132
1742986067.9152117,0.0014068525719864256
1742986067.9161878,0.0014174304108735415
1742986067.9171636,0.001418392032590552
1742986067.9181397,0.0014251233846096258
1742986067.9191158,0.0014760893356111845
1742986067.9200916,0.0015982152936715238
1742986067.9210675,0.0016751450310323673
1742986067.9220436,0.0017107250345617575
1742986067.92302,0.0016664904355792722
1742986067.9239957,0.0016241790800308085
