index,ECG
1742986056.7809448,-0.0028156283874068723
1742986056.782898,-0.0028156283874068723
1742986056.7848508,-0.0028156283874068723
1742986056.786804,-0.0028156283874068723
1742986056.788757,-0.0028156283874068723
1742986056.79071,-0.0028146667656898613
1742986056.7926629,-0.0027925494661986193
1742986056.7946157,-0.0027723554101413976
1742986056.7965689,-0.002780048383877482
1742986056.7985218,-0.002805050548519756
1742986056.800475,-0.0027867797358965556
1742986056.802428,-0.0027771635187264503
1742986056.804381,-0.0028242829828599675
1742986056.806334,-0.002843515417200178
1742986056.808287,-0.0028396689303321356
1742986056.81024,-0.0027954343313496507
1742986056.8121927,-0.0027925494661986193
1742986056.8141458,-0.002782933249028514
1742986056.816099,-0.0028329375783130617
1742986056.8180518,-0.0028483235257852307
1742986056.820005,-0.0028848651510316316
1742986056.8219578,-0.00282909109144502
1742986056.823911,-0.0028088970353877985
1742986056.8258638,-0.002866594338408431
1742986056.827817,-0.002949293806071338
1742986056.82977,-0.0029194835328440107
1742986056.831723,-0.0029694878621285593
1742986056.8336759,-0.0029675646186945377
1742986056.8356287,-0.002991605161619802
1742986056.8375819,-0.002956986779807422
1742986056.8395348,-0.002952178671222369
1742986056.841488,-0.0029800657010156757
1742986056.843441,-0.0030108375959600124
1742986056.845394,-0.0029964132702048544
1742986056.847347,-0.0029992981353558863
1742986056.8493,-0.002890634881333695
1742986056.851253,-0.0028502467692192515
1742986056.853206,-0.0027781251404434613
1742986056.8551588,-0.0027175429722717964
1742986056.8571117,-0.0026810013470253964
1742986056.8590648,-0.002659845669251164
1742986056.861018,-0.0026444597217789956
1742986056.8629708,-0.002615611070268679
1742986056.864924,-0.002691579185912512
1742986056.8668768,-0.002707926755101691
1742986056.86883,-0.0027281208111589127
1742986056.870783,-0.0027483148672161344
1742986056.872736,-0.00275889270610325
1742986056.874689,-0.0027646624364053136
1742986056.8766418,-0.002773317031858408
1742986056.8785949,-0.002788702979330577
1742986056.8805478,-0.002788702979330577
1742986056.882501,-0.0027810100055944923
1742986056.8844538,-0.002767547301556345
1742986056.886407,-0.0027492764889331446
1742986056.88836,-0.0027646624364053136
1742986056.890313,-0.002736775406612008
1742986056.892266,-0.0027723554101413976
1742986056.894219,-0.0027771635187264503
1742986056.8961718,-0.002780048383877482
1742986056.8981247,-0.0027521613540841764
1742986056.9000778,-0.002797357574783672
1742986056.902031,-0.0028156283874068723
1742986056.9039838,-0.0028848651510316316
1742986056.905937,-0.002856016499521315
1742986056.9078898,-0.0028925581247677156
1742986056.909843,-0.002914675424258958
1742986056.9117959,-0.0029810273227326854
1742986056.913749,-0.0028867883944656524
1742986056.915702,-0.002866594338408431
1742986056.9176548,-0.002890634881333695
1742986056.9196079,-0.002928138128297106
1742986056.9215608,-0.003004106243940939
1742986056.923514,-0.003083920846452814
1742986056.9254668,-0.00309546030705694
1742986056.92742,-0.0030877673333208557
1742986056.929373,-0.0030762278727167296
1742986056.931326,-0.00305988030352755
1742986056.933279,-0.002997374891921865
1742986056.935232,-0.002933907858599169
1742986056.9371848,-0.0028839035293146205
1742986056.9391377,-0.0028675559601254418
1742986056.9410908,-0.00281178190053883
1742986056.943044,-0.0027271591894419025
1742986056.9449968,-0.00275889270610325
1742986056.94695,-0.0027877413576135666
1742986056.9489028,-0.0026906175641955017
1742986056.950856,-0.002645421343496006
1742986056.9528089,-0.002580992688456299
1742986056.954762,-0.0025694532278521726
1742986056.956715,-0.002605033231381563
1742986056.9586678,-0.002542527819775878
1742986056.9606209,-0.00256368349755011
1742986056.9625738,-0.002625227287438784
1742986056.964527,-0.0027261975677248915
1742986056.9664798,-0.002702157024799628
1742986056.968433,-0.0026867710773274592
1742986056.970386,-0.0026906175641955017
1742986056.972339,-0.0026713851298552902
1742986056.974292,-0.0027656240581223237
1742986056.976245,-0.002770432166707377
1742986056.978198,-0.002781971627311503
1742986056.9801507,-0.002771393788424387
1742986056.9821038,-0.0028069737919537772
1742986056.984057,-0.0028271678480109984
1742986056.9860098,-0.0029098673156739054
1742986056.987963,-0.002939677588901232
1742986056.9899158,-0.0029925667833368124
1742986056.991869,-0.0030906521984718875
1742986056.9938219,-0.0031262322020012777
1742986056.995775,-0.003120462471699215
1742986056.997728,-0.00307718949443374
1742986056.999681,-0.0030444943560553814
1742986057.001634,-0.002965641375260517
1742986057.0035868,-0.0028829419075976103
1742986057.00554,-0.002828129469728009
1742986057.0074928,-0.0027983191965006825
1742986057.009446,-0.002773317031858408
1742986057.011399,-0.002783894870745524
1742986057.013352,-0.0028377456868981144
1742986057.015305,-0.0028954429899187475
1742986057.017258,-0.0029646797535435067
1742986057.019211,-0.0029925667833368124
1742986057.0211637,-0.0029242916414290634
1742986057.0231168,-0.0028675559601254418
1742986057.0250697,-0.0028185132525579038
1742986057.0270228,-0.0027858181141795454
1742986057.028976,-0.0027175429722717964
1742986057.0309289,-0.0026098413399666155
1742986057.032882,-0.0025252186288696877
1742986057.0348349,-0.0024915618687743188
1742986057.036788,-0.0024800224081701927
1742986057.0387409,-0.0025319499808887616
1742986057.040694,-0.0026550375606661115
1742986057.042647,-0.0027098499985357123
1742986057.0445998,-0.00279351108791563
1742986057.046553,-0.002820436495991925
1742986057.0485058,-0.002877172177295547
1742986057.050459,-0.0028781337990125572
1742986057.0524118,-0.002856016499521315
1742986057.054365,-0.002796395953066661
1742986057.056318,-0.002771393788424387
1742986057.058271,-0.002753122975801187
1742986057.060224,-0.0027502381106501547
1742986057.0621767,-0.0027579310843862397
1742986057.0641298,-0.0027762018970094397
1742986057.0660827,-0.002807935413670788
1742986057.0680358,-0.0028108202788218197
1742986057.069989,-0.002817551630840893
1742986057.0719419,-0.0027790867621604715
1742986057.073895,-0.0028156283874068723
1742986057.0758479,-0.0027771635187264503
1742986057.077801,-0.002828129469728009
1742986057.0797539,-0.0028964046116357577
1742986057.081707,-0.0029223683979950426
1742986057.08366,-0.0029579484015244324
1742986057.0856128,-0.0029877586747517598
1742986057.087566,-0.0030329548954512553
1742986057.0895188,-0.0030156457045450655
1742986057.091472,-0.002975257592430622
1742986057.0934248,-0.0028502467692192515
1742986057.095378,-0.00272331270257386
1742986057.097331,-0.002708888376818702
1742986057.099284,-0.0027406218934800494
1742986057.101237,-0.0027040802682336495
1742986057.10319,-0.0026983105379315858
